"date","NL","YT","NU","ON","QC","MB","NB","AB","NS","BC","SK","PE","NT","Afghanistan","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Bulgaria","Burundi","Cambodia","Cameroon","Cayman Islands","Chad","Chile","China","Chinese Taipei","Colombia","Congo","Costa Rica","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada and South Grenadines","Guadeloupe","Guatemala","Guyana","Honduras","Hong Kong (SAR), China","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Laos","Latvia","Lebanon","Liberia","Lithuania","Luxembourg","Macau (SAR), China","Malawi","Malaysia","Mali","Malta","Martinique","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Nigeria","Norway","Oman","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Reunion","Romania","Russian Federation","Rwanda","Saint Kitts and Nevis","Saint Pierre and Miquelon","Saudi Arabia","Senegal","Serbia","Seychelles","Singapore","Sint Maarten","Slovakia","Slovenia","Somalia","South Africa","South Korea","Spain","Sri Lanka","Sudan","Suriname","Sweden","Switzerland","Tanzania","Thailand","Togo","Trinidad and Tobago","Tunisia","Turkey","Turks and Caicos Islands","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vietnam","Zambia","Zimbabwe"
2019-01-01,29576,3,0,13943,10715,256,1539,3881,11949,950,228,454,87,0,0,0,2,23,27,0,54,42,2,27,5,14,0,0,0,7,0,15,0,0,0,59,0,0,0,9,0,10,0,18,95,0,15,0,101,10,82,15,4,11,52,0,0,164,18,70,0,6,2,0,6,85,0,7,0,0,54,9,11,0,0,4,3,0,10,4,10,86,3,4,0,61,4,25,131,25,0,0,13,14,0,0,0,0,0,0,0,0,2,0,2,0,0,4,215,0,0,3,5,0,0,0,0,45,0,15,0,24,100,3,12,11,0,21,71,11,20,27,0,5,5,0,6,455,13,0,0,0,14,0,0,0,0,27,22,52,8,17,0,5,19,10,20,0,26,35,16,14,1,9,79,595,4870,0,0,31,1,14
2019-02-01,29168,0,27,13859,11175,292,1639,3253,11624,864,189,262,62,0,3,2,2,32,8,0,65,13,2,12,4,2,0,0,14,0,0,18,0,0,0,235,0,0,0,0,0,0,2,7,81,2,12,0,65,0,4,0,0,3,12,0,0,55,2,14,0,4,11,3,6,77,0,0,0,0,52,4,0,9,0,70,9,0,53,2,0,114,10,0,2,32,6,42,100,11,0,0,0,2,0,4,14,0,0,4,0,0,8,0,0,0,8,3,434,0,2,0,3,2,0,0,0,31,2,74,0,14,111,8,5,4,0,0,68,24,4,45,0,0,2,0,0,472,9,0,4,0,8,0,0,0,0,7,11,50,6,3,0,0,2,8,23,0,6,7,13,21,4,3,54,618,4643,0,0,2,0,0
2019-03-01,32248,0,73,16102,11722,364,1816,3404,13619,1115,142,241,97,0,0,0,0,0,40,0,58,9,2,29,0,5,0,0,10,0,0,8,0,0,0,30,0,0,0,0,3,28,0,53,45,0,13,5,78,0,817,9,6,0,47,0,0,107,8,8,0,2,0,0,28,127,0,0,0,0,57,8,12,0,14,5,3,0,37,0,0,79,9,0,0,24,5,37,459,18,3,0,5,14,0,0,7,0,0,11,0,0,6,0,0,0,0,0,365,0,4,0,0,0,6,0,0,127,0,9,0,15,145,1,4,7,0,166,66,0,50,17,0,0,4,0,0,559,4,0,0,2,21,0,0,0,0,2,7,84,3,7,0,11,18,9,15,0,10,0,0,27,2,10,56,713,7654,0,0,19,0,2
2019-04-01,31445,14,37,16375,11126,347,1922,3740,13098,1015,292,361,122,0,0,0,0,0,20,0,54,9,0,95,5,12,0,0,22,0,0,29,0,0,0,31,0,3,0,0,0,23,1,4,47,3,10,0,123,3,2058,0,5,2,42,0,0,80,57,25,0,0,0,0,8,133,0,4,0,0,100,11,10,20,0,0,11,0,27,22,0,79,1,0,0,110,3,206,738,69,1,0,0,14,4,2,8,0,0,0,2,0,4,0,19,0,0,0,600,0,1,0,0,0,0,1,3,37,0,7,0,33,114,8,2,0,0,11,98,9,153,48,0,8,4,0,0,517,14,6,4,0,22,7,0,0,1,48,8,90,5,0,0,5,21,0,179,0,6,6,0,50,0,18,36,620,14068,0,0,16,0,0
2019-05-01,35336,0,56,23177,10672,671,2312,4926,17918,1648,547,430,159,0,0,0,7,6,4,29,81,53,8,23,2,45,6,0,96,0,0,109,0,2,0,43,0,16,0,0,8,8,6,7,179,13,6,0,16,43,968,0,4,34,80,0,0,294,15,63,0,0,0,0,15,542,0,0,0,10,214,24,70,15,9,3,4,0,37,87,0,120,18,6,0,553,9,408,742,39,0,7,17,19,0,0,0,0,7,15,0,0,4,0,52,0,7,4,699,0,0,0,21,0,0,4,3,138,0,6,17,41,268,2,9,23,0,21,67,23,180,43,2,10,21,2,3,518,46,9,4,0,15,0,0,0,0,13,19,272,39,5,2,3,76,7,15,0,35,6,21,75,0,20,58,1520,14136,0,0,10,0,8
2019-06-01,32612,45,136,32534,10624,1154,2500,7535,18495,3177,446,524,231,0,0,0,2,5,0,0,69,41,11,45,4,15,6,12,47,0,0,9,0,2,0,37,0,0,0,1,0,0,3,6,91,8,10,0,9,27,97,0,0,121,115,0,0,303,9,14,0,22,1,3,36,385,0,0,0,0,486,19,39,0,0,2,23,0,25,58,120,47,2,12,4,688,9,292,96,59,0,0,8,7,5,10,0,0,0,0,0,0,22,0,12,0,3,0,250,0,0,0,2,0,0,4,4,187,0,6,0,28,194,14,6,0,0,12,50,12,264,84,0,32,31,0,9,530,13,14,0,0,7,0,7,16,0,34,18,295,7,4,0,9,192,5,12,5,24,0,8,12,0,8,59,1277,8310,0,0,23,0,50
2019-07-01,31542,47,110,48184,11755,1459,2881,14193,21548,4588,999,571,283,0,0,0,13,0,8,0,70,50,5,40,0,10,66,0,37,0,0,21,0,0,0,51,0,40,0,8,0,2,3,17,164,6,8,0,55,20,366,0,3,34,80,0,0,322,3,42,0,5,2,0,31,321,0,6,0,0,309,0,18,0,0,29,9,0,27,10,53,83,8,0,6,326,16,486,129,165,4,5,9,13,0,3,5,0,3,0,0,0,19,0,0,0,13,0,246,0,0,0,1,0,0,5,5,139,0,14,0,23,99,4,1,2,0,3,51,24,138,38,0,16,30,0,0,432,23,0,27,0,38,12,0,0,0,30,37,117,12,0,0,13,85,3,15,5,24,21,3,16,18,22,51,1160,7431,0,0,15,0,0
2019-08-01,37070,43,124,45343,12133,1197,2908,10992,22901,4795,1251,753,294,0,0,0,5,0,0,0,92,13,2,23,18,54,13,3,36,0,0,0,0,0,0,91,0,0,0,0,3,0,0,18,210,25,2,0,11,0,337,0,5,23,146,0,0,381,3,56,0,23,8,0,57,170,0,4,0,0,269,11,60,0,18,4,40,0,40,57,156,168,20,11,0,744,11,252,165,80,14,0,6,18,0,12,13,0,0,0,0,0,0,0,0,0,0,6,113,0,0,0,2,0,0,5,6,77,0,2,23,40,329,4,10,0,0,21,44,27,102,27,0,9,50,0,0,528,29,0,4,0,6,0,0,0,0,27,25,94,15,18,0,34,102,18,21,0,17,7,49,0,2,35,76,1167,7812,0,0,16,0,0
2019-09-01,36381,41,110,26790,11344,1049,2479,5762,18212,2624,641,649,98,0,0,10,10,0,7,0,67,44,0,25,3,73,7,0,23,6,0,20,0,0,8,65,0,9,0,11,0,9,6,11,162,15,9,0,6,18,13,0,27,4,144,0,0,117,32,68,8,0,6,0,21,377,0,24,0,0,203,13,48,0,0,0,25,0,37,51,33,181,7,16,51,582,38,275,55,47,6,0,4,11,0,11,10,0,0,0,0,0,13,0,7,0,0,10,101,0,0,0,17,0,0,2,2,126,0,29,0,61,183,7,13,3,0,2,57,30,147,48,0,13,13,3,0,508,30,0,0,0,41,0,0,0,0,6,27,171,23,2,0,58,42,14,12,0,27,26,95,4,0,21,34,1335,7462,0,0,38,0,4
2019-10-01,37925,52,51,21524,12296,700,2119,5810,18185,1843,301,467,225,0,0,0,0,0,0,0,87,41,5,18,0,6,20,0,4,0,0,0,4,0,0,37,0,8,0,3,0,7,0,11,161,0,6,0,16,11,8,6,0,33,72,0,0,224,0,0,0,8,2,0,35,158,0,4,0,0,114,19,39,0,0,3,59,3,29,18,46,95,20,11,0,287,95,283,138,29,3,0,4,14,0,6,8,0,0,6,0,0,4,0,10,0,0,0,217,9,0,0,14,0,0,1,7,83,0,7,0,14,130,4,0,10,0,35,64,15,148,24,0,8,4,0,8,517,10,0,3,4,9,0,0,2,0,28,12,190,4,0,2,6,34,4,14,0,22,3,22,6,0,29,65,734,8138,0,0,11,5,0
2019-11-01,35274,31,56,15205,8579,252,1820,3697,13840,1295,237,501,115,0,0,0,2,0,4,0,73,26,7,12,5,64,0,0,22,0,0,21,2,0,0,51,0,0,0,0,0,8,6,46,56,2,53,0,34,0,0,0,0,3,26,1,0,154,2,21,0,0,0,0,17,130,0,14,0,0,139,6,2,0,0,3,24,3,16,0,0,81,12,5,0,52,40,112,139,41,10,0,12,8,0,8,2,0,0,2,0,0,6,0,0,0,0,0,293,0,0,0,0,0,0,0,2,54,0,56,9,20,192,2,0,0,0,11,61,17,127,25,0,9,16,0,0,507,4,0,0,0,6,7,0,0,0,11,7,151,23,3,0,3,0,12,22,0,34,0,29,8,0,12,46,541,8305,0,0,18,0,0
2019-12-01,32252,49,116,18050,7712,464,2090,5673,14291,2273,307,415,198,0,0,0,0,0,3,0,86,4,4,11,7,52,0,0,12,0,0,0,1,0,0,90,0,0,6,0,16,42,0,16,73,3,6,7,24,0,20,4,3,36,57,0,3,61,0,40,11,3,0,0,18,58,0,6,0,0,74,15,4,0,0,3,21,3,7,3,9,157,9,0,14,28,6,12,177,77,5,0,10,11,0,6,2,2,0,0,0,0,30,0,0,0,0,3,289,0,0,0,23,0,3,0,6,14,0,33,0,29,161,7,4,0,0,4,57,33,6,21,0,10,19,0,0,551,11,0,0,3,2,3,0,4,0,12,8,48,27,3,0,16,42,11,19,0,7,8,48,3,12,2,58,566,6260,0,0,8,0,4
2020-01-01,28069,29,14,13377,6376,299,1676,3656,10734,1478,236,269,62,0,4,3,2,14,5,0,61,60,5,85,0,68,10,0,20,11,0,8,0,0,0,54,0,0,0,2,6,10,10,26,75,3,27,0,85,3,23,13,2,10,46,0,0,16,12,36,4,3,2,0,11,75,24,8,0,0,125,4,9,0,0,0,14,0,17,2,0,127,7,0,0,9,27,24,78,12,2,0,12,12,0,0,0,0,0,0,0,0,2,0,0,3,0,14,230,0,0,0,7,2,0,0,0,49,0,8,69,29,164,7,9,3,0,9,78,18,5,65,12,3,14,0,0,484,11,0,0,2,6,0,0,8,0,28,25,88,11,0,2,6,19,4,11,0,12,0,68,7,4,10,69,431,4192,0,0,6,0,8
2020-02-01,26836,13,69,12536,7455,292,1669,2908,10533,1514,157,350,113,0,0,0,0,18,2,0,53,41,0,31,0,9,25,0,36,16,7,14,0,0,0,68,0,0,0,0,0,32,3,10,9,1,14,0,68,0,3,11,0,3,65,0,0,111,4,6,0,0,2,0,15,53,0,3,0,0,104,19,5,9,0,5,25,3,0,0,19,143,0,1,3,25,38,1,155,1,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,185,0,0,0,5,0,0,2,3,56,0,8,3,15,178,4,4,7,0,6,57,6,9,18,0,10,0,0,0,432,9,0,0,0,0,0,0,0,0,21,0,174,9,6,0,0,4,6,9,0,25,0,62,0,9,7,38,382,5424,0,5,2,0,0
2020-03-01,13383,37,37,9826,4767,265,1157,2087,9102,1290,180,247,121,3,0,0,1,0,7,0,61,17,1,3,0,3,0,0,10,5,0,10,0,0,0,204,1,0,0,0,2,11,6,28,18,1,8,2,81,1,664,11,1,1,45,0,0,659,2,25,3,9,3,2,12,83,0,2,2,0,64,7,2,0,7,0,7,0,3,4,0,60,4,0,0,17,14,1,268,8,2,0,9,7,0,0,0,0,0,0,0,5,1,2,1,0,0,0,284,4,0,0,4,0,0,0,2,17,0,12,8,14,69,1,5,0,4,9,17,5,18,27,0,5,7,0,0,211,4,0,2,0,0,0,0,0,0,7,2,78,4,1,0,2,2,0,7,0,6,3,31,10,0,11,45,267,4636,2,0,6,0,0
